k,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.200827,1,0.0346258,0.0421258,0,0.125,354,0
0.200222,1,0.0347236,0.0422236,0,0.125,355,0
0.199631,1,0.0348214,0.0423214,0,0.125,356,0
0.19904,1,0.0349192,0.0424192,0,0.125,357,0
0.198448,1,0.0350171,0.0425171,0,0.125,358,0
0.197857,1,0.0351149,0.0426149,0,0.125,359,0
0.197266,1,0.0352127,0.0427127,0,0.125,360,0
0.19668,1,0.0353105,0.0428105,0,0.125,361,0
0.1961,1,0.0354083,0.0429083,0,0.125,362,0
0.19552,1,0.0355061,0.0430061,0,0.125,363,0
0.19494,1,0.0356039,0.0431039,0,0.125,364,0
0.19436,1,0.0357017,0.0432017,0,0.125,365,0
0.19378,1,0.0357996,0.0432996,0,0.125,366,0
0.193224,1,0.0358974,0.0433974,0,0.125,367,0
0.192671,1,0.0359952,0.0434952,0,0.125,368,0
0.192118,1,0.036093,0.043593,0,0.125,369,0
0.191565,1,0.0361908,0.0436908,0,0.125,370,0
0.191012,1,0.0362886,0.0437886,0,0.125,371,0
0.190467,1,0.0363864,0.0438864,0,0.125,372,0
0.189944,1,0.0364842,0.0439842,0,0.125,373,0
0.189421,1,0.0365821,0.0440821,0,0.125,374,0
0.188899,1,0.0366799,0.0441799,0,0.125,375,0
0.188376,1,0.0367777,0.0442777,0,0.125,376,0
0.187853,1,0.0368755,0.0443755,0,0.125,377,0
0.187336,1,0.0369733,0.0444733,0,0.125,378,0
0.186822,1,0.0370711,0.0445711,0,0.125,379,0
0.186307,1,0.0371689,0.0446689,0,0.125,380,0
0.185793,1,0.0372668,0.0447668,0,0.125,381,0
0.185279,1,0.0373646,0.0448646,0,0.125,382,0
0.184764,1,0.0374624,0.0449624,0,0.125,383,0
0.184264,1,0.0375602,0.0450602,0,0.125,384,0
0.183763,1,0.037658,0.045158,0,0.125,385,0
0.183263,1,0.0377558,0.0452558,0,0.125,386,0
0.182762,1,0.0378536,0.0453536,0,0.125,387,0
0.182261,1,0.0379514,0.0454514,0,0.125,388,0
0.181773,1,0.0380493,0.0455493,0,0.125,389,0
0.181304,1,0.0381471,0.0456471,0,0.125,390,0
0.180835,1,0.0382449,0.0457449,0,0.125,391,0
0.180365,1,0.0383427,0.0458427,0,0.125,392,0
0.179896,1,0.0384405,0.0459405,0,0.125,393,0
0.179427,1,0.0385383,0.0460383,0,0.125,394,0
0.178967,1,0.0386361,0.0461361,0,0.125,395,0
0.17851,1,0.0387339,0.0462339,0,0.125,396,0
0.178053,1,0.0388318,0.0463318,0,0.125,397,0
0.177596,1,0.0389296,0.0464296,0,0.125,398,0
0.177139,1,0.0390274,0.0465274,0,0.125,399,0
0.176683,1,0.0391252,0.0466252,0,0.125,400,0
0.176229,1,0.039223,0.046723,0,0.125,401,0
0.175774,1,0.0393208,0.0468208,0,0.125,402,0
0.17532,1,0.0394186,0.0469186,0,0.125,403,0
0.174866,1,0.0395165,0.0470165,0,0.125,404,0
0.174412,1,0.0396143,0.0471143,0,0.125,405,0
0.173968,1,0.0397121,0.0472121,0,0.125,406,0
0.173532,1,0.0398099,0.0473099,0,0.125,407,0
0.173097,1,0.0399077,0.0474077,0,0.125,408,0
0.172662,1,0.0400055,0.0475055,0,0.125,409,0
0.172226,1,0.0401033,0.0476033,0,0.125,410,0
0.171791,1,0.0402011,0.0477011,0,0.125,411,0
0.171371,1,0.040299,0.047799,0,0.125,412,0
0.170954,1,0.0403968,0.0478968,0,0.125,413,0
0.170536,1,0.0404946,0.0479946,0,0.125,414,0
0.170118,1,0.0405924,0.0480924,0,0.125,415,0
0.1697,1,0.0406902,0.0481902,0,0.125,416,0
0.169285,1,0.040788,0.048288,0,0.125,417,0
0.168877,1,0.0408858,0.0483858,0,0.125,418,0
0.168469,1,0.0409836,0.0484836,0,0.125,419,0
0.168061,1,0.0410815,0.0485815,0,0.125,420,0
0.167653,1,0.0411793,0.0486793,0,0.125,421,0
0.167245,1,0.0412771,0.0487771,0,0.125,422,0
0.166844,1,0.0413749,0.0488749,0,0.125,423,0
0.166445,1,0.0414727,0.0489727,0,0.125,424,0
0.166047,1,0.0415705,0.0490705,0,0.125,425,0
0.165649,1,0.0416683,0.0491683,0,0.125,426,0
0.165251,1,0.0417662,0.0492662,0,0.125,427,0
0.164853,1,0.041864,0.049364,0,0.125,428,0
0.164461,1,0.0419618,0.0494618,0,0.125,429,0
0.16407,1,0.0420596,0.0495596,0,0.125,430,0
0.163679,1,0.0421574,0.0496574,0,0.125,431,0
0.163288,1,0.0422552,0.0497552,0,0.125,432,0
0.162897,1,0.042353,0.049853,0,0.125,433,0
0.162509,1,0.0424508,0.0499508,0,0.125,434,0
0.162126,1,0.0425487,0.0500487,0,0.125,435,0
0.161742,1,0.0426465,0.0501465,0,0.125,436,0
0.161359,1,0.0427443,0.0502443,0,0.125,437,0
0.160976,1,0.0428421,0.0503421,0,0.125,438,0
0.160592,1,0.0429399,0.0504399,0,0.125,439,0
0.160219,1,0.0430377,0.0505377,0,0.125,440,0
0.15985,1,0.0431355,0.0506355,0,0.125,441,0
