t	etaU
671.111	0.00524621
671.667	0.0220016
672.222	0.0469514
672.778	0.0166927
673.333	0.0289493
673.889	0.0096305
674.444	0.0117546
675	0.00274505
675.556	0.0131862
676.111	0.0031679
676.667	0.0013606
677.222	0.0248228
677.778	0.0176084
678.333	0.0517055
678.889	0.029044
679.444	0.000683667
680	0.0081493
680.556	0.0439525
681.111	0.00947878
681.667	0.0348384
682.222	0.00278674
682.778	0.0144996
683.333	0.050239
683.889	0.0105206
684.444	0.0230156
685	0.0416366
685.556	0.0621053
686.111	0.0317459
686.667	0.0125557
687.222	0.0334931
687.778	0.0214615
688.333	0.0337196
688.889	0.065033
689.444	0.0387333
690	0.0336829
690.556	0.0451655
691.111	0.013826
691.667	0.012654
692.222	0.0273544
692.778	0.0747422
693.333	0.0189939
693.889	0.0415606
694.444	0.0353268
695	0.00688059
695.556	0.0280896
696.111	0.0280204
696.667	0.042091
697.222	0.0307307
697.778	0.0446095
698.333	0.0181691
698.889	0.0115418
699.444	0.0247106
700	0.0497035
700.556	0.0109388
701.111	0.0365783
701.667	0.00643704
702.222	0.00677148
702.778	0.0142325
703.333	0.000162706
703.889	0.0312087
704.444	0.0172749
705	0.0286378
705.556	0.0400801
706.111	0.0116788
706.667	0.025371
707.222	0.00890973
707.778	0.0160745
708.333	0.000944118
708.889	0.00103335
709.444	0.018757
710	0.0116862
710.556	0.0549866
711.111	0.0213709
711.667	0.00919127
712.222	0.00771614
712.778	0.0585407
713.333	0.00430481
713.889	0.0271905
714.444	0.0437128
715	0.00884406
715.556	0.0336588
716.111	0.0144309
716.667	0.0606138
717.222	0.0111272
717.778	0.0718462
718.333	0.02109
718.889	0.0251129
719.444	0.0143976
720	0.0544691
720.556	0.00697788
721.111	0.0298296
721.667	0.0573003
722.222	0.00971622
722.778	0.0477589
723.333	0.0194868
723.889	0.0436872
724.444	0.000197824
725	0.0584963
725.556	0.016335
726.111	0.0159016
726.667	0.012313
727.222	0.0267504
727.778	0.0145848
728.333	0.0106054
728.889	0.0368783
729.444	0.0121912
730	0.0402897
730.556	0.00869277
731.111	0.0155715
731.667	0.0195048
732.222	0.0353652
732.778	0.00282792
733.333	0.0025645
733.889	0.0177152
734.444	0.0256874
735	0.00459915
735.556	0.0251441
736.111	0.0065559
736.667	0.00406263
737.222	0.0218802
737.778	0.032245
738.333	0.015163
738.889	0.021383
739.444	0.0109488
740	0.0161316
740.556	0.0122519
741.111	0.0123172
741.667	0.0407181
742.222	0.018797
742.778	0.0526034
743.333	0.0197461
743.889	0.0186044
744.444	0.00196685
745	0.0442059
745.556	0.0370799
746.111	0.0191645
746.667	0.0294292
747.222	0.0320214
747.778	0.0125363
748.333	0.00910861
748.889	0.0471369
749.444	0.0330675
750	0.0647079
750.556	0.0221152
751.111	0.012487
751.667	0.00280036
752.222	0.0348086
752.778	0.0321631
753.333	0.00670388
753.889	0.0367896
754.444	0.0271745
755	0.0185321
755.556	7.42684e-05
756.111	0.0173623
756.667	0.0441693
757.222	0.0390931
757.778	0.0075501
758.333	0.00287917
758.889	0.0045456
759.444	0.00262217
760	0.0118259
760.556	0.0244359
761.111	0.0130822
761.667	5.23042e-05
762.222	0.0156293
762.778	0.0239913
763.333	0.0178089
763.889	0.0139228
764.444	0.00631961
765	0.00726426
765.556	0.0129258
766.111	0.0154347
766.667	0.0275349
767.222	0.0326314
