eta1	eta2	eta3	eta4
0.245329	0.102322	0.701804	0.108601
0.209638	0.136252	0.7387	0.0208842
0.166968	0.19026	0.809136	-0.0612336
0.104078	0.267789	0.893586	-0.0963773
0.0178062	0.334854	0.978202	-0.0838277
-0.102993	0.364418	1.05265	-0.0532691
-0.250765	0.354274	1.10708	-0.0150073
-0.393865	0.315398	1.12438	0.0253832
-0.498794	0.263169	1.0877	0.0521933
-0.541204	0.1885	0.985083	0.0611872
-0.511132	0.07683	0.83477	0.0330841
-0.419249	-0.0473264	0.691805	-0.0439038
-0.277602	-0.152348	0.596523	-0.110397
-0.0588822	-0.238743	0.531415	-0.0723317
0.210619	-0.267119	0.44427	0.138685
0.462497	-0.20369	0.282306	0.510298
0.700115	-0.0686682	0.0260478	0.917215
0.991588	0.119611	-0.332734	1.21961
1.29992	0.415721	-0.796577	1.36703
1.46512	0.862998	-1.31617	1.32463
1.33334	1.39575	-1.7282	0.95362
1.00983	1.89143	-1.89631	0.257927
0.64055	2.23592	-1.75576	-0.50115
0.306986	2.438	-1.45538	-1.02784
-0.011814	2.57191	-1.14447	-1.25135
-0.35298	2.64214	-0.87065	-1.19424
-0.693377	2.63112	-0.625315	-0.815641
-1.01546	2.6074	-0.515561	-0.128542
-1.34607	2.51713	-0.600455	0.665343
